relative_path,top_level,filename,extension,category,size_bytes,size_mb,modified_utc
experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/validation_predictions.csv,experiments,validation_predictions.csv,.csv,tabular data,916707,0.8742,2026-07-30T14:42:21.557560+00:00
experiments/results/rice/rice_fedavg_noniid_mobilenetv2/metrics.json,experiments,metrics.json,.json,structured data,4097,0.0039,2026-07-30T14:42:21.568676+00:00
experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/evaluation_metrics.json,experiments,evaluation_metrics.json,.json,structured data,5152,0.0049,2026-07-30T14:42:21.599086+00:00
experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/evaluation_summary.csv,experiments,evaluation_summary.csv,.csv,tabular data,249,0.0002,2026-07-30T14:42:21.612404+00:00
experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/test_confusion_matrix.csv,experiments,test_confusion_matrix.csv,.csv,tabular data,230,0.0002,2026-07-30T14:42:21.627142+00:00
experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/test_confusion_matrix.png,experiments,test_confusion_matrix.png,.png,image,107166,0.1022,2026-07-30T14:42:21.646551+00:00
experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/test_per_class_metrics.csv,experiments,test_per_class_metrics.csv,.csv,tabular data,561,0.0005,2026-07-30T14:42:21.656037+00:00
experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/test_predictions.csv,experiments,test_predictions.csv,.csv,tabular data,1683654,1.6057,2026-07-30T14:42:21.763146+00:00
experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/validation_confusion_matrix.csv,experiments,validation_confusion_matrix.csv,.csv,tabular data,230,0.0002,2026-07-30T14:42:21.766045+00:00
experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/validation_confusion_matrix.png,experiments,validation_confusion_matrix.png,.png,image,107371,0.1024,2026-07-30T14:42:21.777988+00:00
experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/validation_per_class_metrics.csv,experiments,validation_per_class_metrics.csv,.csv,tabular data,546,0.0005,2026-07-30T14:42:21.784936+00:00
experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/validation_predictions.csv,experiments,validation_predictions.csv,.csv,tabular data,1734883,1.6545,2026-07-30T14:42:21.898205+00:00
experiments/results/rice/rice_fedavg_noniid_resnet18/metrics.json,experiments,metrics.json,.json,structured data,4082,0.0039,2026-07-30T14:42:21.909256+00:00
experiments/results/rice/rice_mobilenetv2_grouped_v1/confusion_matrix.png,experiments,confusion_matrix.png,.png,image,91969,0.0877,2026-07-30T14:42:21.938000+00:00
experiments/results/rice/rice_mobilenetv2_grouped_v1/history.json,experiments,history.json,.json,structured data,2538,0.0024,2026-07-30T14:42:21.950659+00:00
experiments/results/rice/rice_mobilenetv2_grouped_v1/metrics.json,experiments,metrics.json,.json,structured data,2236,0.0021,2026-07-30T14:42:21.961738+00:00
experiments/results/rice/rice_mobilenetv2_grouped_v1/test_confusion_matrix.csv,experiments,test_confusion_matrix.csv,.csv,tabular data,230,0.0002,2026-07-30T14:42:21.973983+00:00
experiments/results/rice/rice_mobilenetv2_grouped_v1/test_confusion_matrix.png,experiments,test_confusion_matrix.png,.png,image,91614,0.0874,2026-07-30T14:42:21.988457+00:00
experiments/results/rice/rice_mobilenetv2_grouped_v1/test_evaluation.json,experiments,test_evaluation.json,.json,structured data,1772,0.0017,2026-07-30T14:42:21.998214+00:00
